Emp ID,Date,Shift Code,Is/OFF
547-2016-6322,2025-12-01,4,0
547-2016-6322,2025-12-02,4,0
547-2016-6322,2025-12-03,4,0
547-2016-6322,2025-12-04,4,1
547-2016-6322,2025-12-05,4,0
547-2016-6322,2025-12-06,4,0
547-2016-6322,2025-12-07,4,0
547-2016-6322,2025-12-08,4,0
547-2016-6322,2025-12-09,4,0
547-2016-6322,2025-12-10,4,0
547-2016-6322,2025-12-11,4,0
547-2016-6322,2025-12-12,4,0
547-2016-6322,2025-12-13,1015,0
547-2016-6322,2025-12-14,4,0
547-2016-6322,2025-12-15,4,0
547-2016-6322,2025-12-16,4,0
547-2016-6322,2025-12-17,4,1
547-2016-6322,2025-12-18,4,0
547-2016-6322,2025-12-19,4,0
547-2016-6322,2025-12-20,4,0
547-2016-6322,2025-12-21,4,0
547-2016-6322,2025-12-22,4,0
547-2016-6322,2025-12-23,4,0
547-2016-6322,2025-12-24,4,0
547-2016-6322,2025-12-25,4,0
547-2016-6322,2025-12-26,4,0
547-2016-6322,2025-12-27,4,0
547-2016-6322,2025-12-28,4,0
547-2016-6322,2025-12-29,4,0
547-2016-6322,2025-12-30,4,0
547-2016-6322,2025-12-31,4,0
547-2025-5278,2025-12-01,2,0
547-2025-5278,2025-12-02,2,1
547-2025-5278,2025-12-03,2,1
547-2025-5278,2025-12-04,4,0
547-2025-5278,2025-12-05,4,1
547-2025-5278,2025-12-06,4,0
547-2025-5278,2025-12-07,4,0
547-2025-5278,2025-12-08,4,0
547-2025-5278,2025-12-09,4,0
547-2025-5278,2025-12-10,4,0
547-2025-5278,2025-12-11,4,0
547-2025-5278,2025-12-12,4,0
547-2025-5278,2025-12-13,4,0
547-2025-5278,2025-12-14,4,0
547-2025-5278,2025-12-15,4,0
547-2025-5278,2025-12-16,4,0
547-2025-5278,2025-12-17,4,0
547-2025-5278,2025-12-18,4,0
547-2025-5278,2025-12-19,4,0
547-2025-5278,2025-12-20,4,0
547-2025-5278,2025-12-21,4,0
547-2025-5278,2025-12-22,4,0
547-2025-5278,2025-12-23,4,0
547-2025-5278,2025-12-24,4,0
547-2025-5278,2025-12-25,4,0
547-2025-5278,2025-12-26,1002,0
547-2025-5278,2025-12-27,1002,0
547-2025-5278,2025-12-28,1002,0
547-2025-5278,2025-12-29,4,0
547-2025-5278,2025-12-30,4,0
547-2025-5278,2025-12-31,4,0
547-2019-5159,2025-12-01,,0
547-2019-5159,2025-12-02,,0
547-2019-5159,2025-12-03,,0
547-2019-5159,2025-12-04,,0
547-2019-5159,2025-12-05,,0
547-2019-5159,2025-12-06,,0
547-2019-5159,2025-12-07,,0
547-2019-5159,2025-12-08,,0
547-2019-5159,2025-12-09,,0
547-2019-5159,2025-12-10,,0
547-2019-5159,2025-12-11,,0
547-2019-5159,2025-12-12,,0
547-2019-5159,2025-12-13,,0
547-2019-5159,2025-12-14,,0
547-2019-5159,2025-12-15,,0
547-2019-5159,2025-12-16,,0
547-2019-5159,2025-12-17,,0
547-2019-5159,2025-12-18,,0
547-2019-5159,2025-12-19,,0
547-2019-5159,2025-12-20,,0
547-2019-5159,2025-12-21,,0
547-2019-5159,2025-12-22,,0
547-2019-5159,2025-12-23,,0
547-2019-5159,2025-12-24,,0
547-2019-5159,2025-12-25,,0
547-2019-5159,2025-12-26,,0
547-2019-5159,2025-12-27,,0
547-2019-5159,2025-12-28,,0
547-2019-5159,2025-12-29,,0
547-2019-5159,2025-12-30,,0
547-2019-5159,2025-12-31,,0
547-2019-6818,2025-12-01,,0
547-2019-6818,2025-12-02,,0
547-2019-6818,2025-12-03,,0
547-2019-6818,2025-12-04,,0
547-2019-6818,2025-12-05,,0
547-2019-6818,2025-12-06,,0
547-2019-6818,2025-12-07,,0
547-2019-6818,2025-12-08,,0
547-2019-6818,2025-12-09,,0
547-2019-6818,2025-12-10,,0
547-2019-6818,2025-12-11,,0
547-2019-6818,2025-12-12,,0
547-2019-6818,2025-12-13,,0
547-2019-6818,2025-12-14,,0
547-2019-6818,2025-12-15,,0
547-2019-6818,2025-12-16,,0
547-2019-6818,2025-12-17,,0
547-2019-6818,2025-12-18,,0
547-2019-6818,2025-12-19,,0
547-2019-6818,2025-12-20,,0
547-2019-6818,2025-12-21,,0
547-2019-6818,2025-12-22,,0
547-2019-6818,2025-12-23,,0
547-2019-6818,2025-12-24,,0
547-2019-6818,2025-12-25,,0
547-2019-6818,2025-12-26,,0
547-2019-6818,2025-12-27,,0
547-2019-6818,2025-12-28,,0
547-2019-6818,2025-12-29,,0
547-2019-6818,2025-12-30,,0
547-2019-6818,2025-12-31,,0
547-2016-6083,2025-12-01,2,0
547-2016-6083,2025-12-02,2,0
547-2016-6083,2025-12-03,2,0
547-2016-6083,2025-12-04,2,0
547-2016-6083,2025-12-05,2,1
547-2016-6083,2025-12-06,1002,0
547-2016-6083,2025-12-07,2,0
547-2016-6083,2025-12-08,2,0
547-2016-6083,2025-12-09,2,0
547-2016-6083,2025-12-10,2,0
547-2016-6083,2025-12-11,2,1
547-2016-6083,2025-12-12,2,0
547-2016-6083,2025-12-13,2,0
547-2016-6083,2025-12-14,2,0
547-2016-6083,2025-12-15,2,0
547-2016-6083,2025-12-16,2,0
547-2016-6083,2025-12-17,2,0
547-2016-6083,2025-12-18,2,0
547-2016-6083,2025-12-19,2,0
547-2016-6083,2025-12-20,2,0
547-2016-6083,2025-12-21,2,0
547-2016-6083,2025-12-22,2,1
547-2016-6083,2025-12-23,2,0
547-2016-6083,2025-12-24,2,0
547-2016-6083,2025-12-25,2,0
547-2016-6083,2025-12-26,2,0
547-2016-6083,2025-12-27,2,0
547-2016-6083,2025-12-28,2,0
547-2016-6083,2025-12-29,1002,0
547-2016-6083,2025-12-30,1002,0
547-2016-6083,2025-12-31,2,0
547-2023-5244,2025-12-01,,0
547-2023-5244,2025-12-02,,0
547-2023-5244,2025-12-03,,0
547-2023-5244,2025-12-04,,0
547-2023-5244,2025-12-05,,0
547-2023-5244,2025-12-06,,0
547-2023-5244,2025-12-07,,0
547-2023-5244,2025-12-08,,0
547-2023-5244,2025-12-09,,0
547-2023-5244,2025-12-10,,0
547-2023-5244,2025-12-11,,0
547-2023-5244,2025-12-12,,0
547-2023-5244,2025-12-13,,0
547-2023-5244,2025-12-14,,0
547-2023-5244,2025-12-15,,0
547-2023-5244,2025-12-16,,0
547-2023-5244,2025-12-17,,0
547-2023-5244,2025-12-18,,0
547-2023-5244,2025-12-19,,0
547-2023-5244,2025-12-20,,0
547-2023-5244,2025-12-21,,0
547-2023-5244,2025-12-22,,0
547-2023-5244,2025-12-23,,0
547-2023-5244,2025-12-24,,0
547-2023-5244,2025-12-25,,0
547-2023-5244,2025-12-26,,0
547-2023-5244,2025-12-27,,0
547-2023-5244,2025-12-28,,0
547-2023-5244,2025-12-29,,0
547-2023-5244,2025-12-30,,0
547-2023-5244,2025-12-31,,0
547-2025-5281,2025-12-01,,0
547-2025-5281,2025-12-02,,0
547-2025-5281,2025-12-03,,0
547-2025-5281,2025-12-04,,0
547-2025-5281,2025-12-05,,0
547-2025-5281,2025-12-06,,0
547-2025-5281,2025-12-07,,0
547-2025-5281,2025-12-08,,0
547-2025-5281,2025-12-09,,0
547-2025-5281,2025-12-10,,0
547-2025-5281,2025-12-11,,0
547-2025-5281,2025-12-12,,0
547-2025-5281,2025-12-13,,0
547-2025-5281,2025-12-14,,0
547-2025-5281,2025-12-15,,0
547-2025-5281,2025-12-16,,0
547-2025-5281,2025-12-17,,0
547-2025-5281,2025-12-18,,0
547-2025-5281,2025-12-19,,0
547-2025-5281,2025-12-20,,0
547-2025-5281,2025-12-21,,0
547-2025-5281,2025-12-22,,0
547-2025-5281,2025-12-23,,0
547-2025-5281,2025-12-24,,0
547-2025-5281,2025-12-25,,0
547-2025-5281,2025-12-26,,0
547-2025-5281,2025-12-27,,0
547-2025-5281,2025-12-28,,0
547-2025-5281,2025-12-29,,0
547-2025-5281,2025-12-30,,0
547-2025-5281,2025-12-31,,0
547-2018-6640,2025-12-01,,0
547-2018-6640,2025-12-02,,0
547-2018-6640,2025-12-03,,0
547-2018-6640,2025-12-04,,0
547-2018-6640,2025-12-05,,0
547-2018-6640,2025-12-06,,0
547-2018-6640,2025-12-07,,0
547-2018-6640,2025-12-08,,0
547-2018-6640,2025-12-09,,0
547-2018-6640,2025-12-10,,0
547-2018-6640,2025-12-11,,0
547-2018-6640,2025-12-12,,0
547-2018-6640,2025-12-13,,0
547-2018-6640,2025-12-14,,0
547-2018-6640,2025-12-15,,0
547-2018-6640,2025-12-16,,0
547-2018-6640,2025-12-17,,0
547-2018-6640,2025-12-18,,0
547-2018-6640,2025-12-19,,0
547-2018-6640,2025-12-20,,0
547-2018-6640,2025-12-21,,0
547-2018-6640,2025-12-22,,0
547-2018-6640,2025-12-23,,0
547-2018-6640,2025-12-24,,0
547-2018-6640,2025-12-25,,0
547-2018-6640,2025-12-26,,0
547-2018-6640,2025-12-27,,0
547-2018-6640,2025-12-28,,0
547-2018-6640,2025-12-29,,0
547-2018-6640,2025-12-30,,0
547-2018-6640,2025-12-31,,0
547-2023-5233,2025-12-01,,1
547-2023-5233,2025-12-02,4,0
547-2023-5233,2025-12-03,4,0
547-2023-5233,2025-12-04,4,0
547-2023-5233,2025-12-05,4,1
547-2023-5233,2025-12-06,4,0
547-2023-5233,2025-12-07,4,0
547-2023-5233,2025-12-08,4,0
547-2023-5233,2025-12-09,4,0
547-2023-5233,2025-12-10,4,0
547-2023-5233,2025-12-11,4,0
547-2023-5233,2025-12-12,4,0
547-2023-5233,2025-12-13,4,0
547-2023-5233,2025-12-14,4,0
547-2023-5233,2025-12-15,4,0
547-2023-5233,2025-12-16,4,0
547-2023-5233,2025-12-17,4,1
547-2023-5233,2025-12-18,4,0
547-2023-5233,2025-12-19,4,0
547-2023-5233,2025-12-20,4,0
547-2023-5233,2025-12-21,4,0
547-2023-5233,2025-12-22,4,0
547-2023-5233,2025-12-23,4,1
547-2023-5233,2025-12-24,1002,0
547-2023-5233,2025-12-25,4,0
547-2023-5233,2025-12-26,4,0
547-2023-5233,2025-12-27,4,0
547-2023-5233,2025-12-28,4,0
547-2023-5233,2025-12-29,4,0
547-2023-5233,2025-12-30,4,1
547-2023-5233,2025-12-31,4,0
